date,open,close,high,low,volume,money,factor
2023-03-28,11.53,11.52,11.6,11.43,73959636.0,851797869.0,0.9111299940715005
2023-03-29,11.6,11.42,11.61,11.39,65420339.0,750687551.0,0.9111299940715005
2023-03-30,11.43,11.55,11.58,11.31,90497102.0,1035422932.0,0.9111299940715005
2023-03-31,11.56,11.42,11.64,11.4,94991018.0,1092263437.0,0.9111299940715005
2023-04-03,11.43,11.54,11.56,11.35,81264898.0,934285179.0,0.9111299940715005
2023-04-04,11.52,11.53,11.59,11.47,71060905.0,817726527.0,0.9111299940715005
2023-04-06,11.48,11.46,11.49,11.39,61826666.0,706480660.0,0.9111299940715005
2023-04-07,11.45,11.5,11.56,11.39,66722121.0,767354797.0,0.9111299940715005
2023-04-10,11.52,11.55,11.57,11.46,70262401.0,809943148.0,0.9111299940715005
2023-04-11,11.57,11.43,11.59,11.41,85364287.0,978302908.0,0.9111299940715005
2023-04-12,11.46,11.37,11.47,11.34,99871266.0,1136997696.0,0.9111299940715005
2023-04-13,11.31,11.44,11.54,11.21,124196489.0,1413919037.0,0.9111299940715005
2023-04-14,11.48,11.56,11.75,11.46,142459896.0,1653539531.0,0.9111299940715005
2023-04-17,11.53,11.78,11.79,11.48,143142318.0,1669357649.0,0.9111299940715005
2023-04-18,11.78,11.84,12.03,11.74,168904126.0,2009934875.0,0.9111299940715005
2023-04-19,11.86,11.71,11.91,11.69,111331880.0,1309536002.0,0.9111299940715005
2023-04-20,11.75,11.62,11.75,11.5,89096881.0,1033330704.0,0.9111299940715005
2023-04-21,11.57,11.39,11.69,11.37,100827368.0,1160509766.0,0.9111299940715005
2023-04-24,11.37,11.02,11.39,10.96,161082604.0,1798133967.0,0.9111299940715005
2023-04-25,11.06,11.19,11.27,11.04,142888592.0,1595320170.0,0.9111299940715005
2023-04-26,11.16,11.04,11.16,10.92,108794618.0,1197555724.0,0.9111299940715005
2023-04-27,10.99,11.17,11.25,10.93,110203086.0,1222755932.0,0.9111299940715005
2023-04-28,11.17,11.43,11.64,11.13,158622189.0,1816868033.0,0.9111299940715005
2023-05-04,11.3,11.6,11.69,11.11,162245167.0,1863146144.0,0.9111299940715005
2023-05-05,11.64,11.76,11.94,11.62,193406941.0,2283981032.0,0.9111299940715005
2023-05-08,11.79,12.14,12.29,11.7,288731424.0,3478891629.0,0.9111299940715005
2023-05-09,12.21,11.99,12.39,11.96,265882417.0,3238716471.0,0.9111299940715005
2023-05-10,12.0,11.7,12.08,11.66,135771339.0,1600189994.0,0.9111299940715005
2023-05-11,11.8,11.71,11.95,11.66,99190944.0,1166479365.0,0.9111299940715005
2023-05-12,11.68,11.5,11.73,11.49,97198389.0,1124579091.0,0.9111299940715005
2023-05-15,11.55,11.69,11.71,11.34,101887287.0,1173804243.0,0.9111299940715005
2023-05-16,11.66,11.5,11.77,11.45,109567427.0,1267712090.0,0.9111299940715005
2023-05-17,11.46,11.38,11.52,11.33,82822562.0,945315193.0,0.9111299940715005
2023-05-18,11.45,11.38,11.52,11.33,75421386.0,861347534.0,0.9111299940715005
2023-05-19,11.33,11.24,11.33,11.23,75556033.0,851165594.0,0.9111299940715005
2023-05-22,11.22,11.28,11.34,11.22,60290832.0,679754868.0,0.9111299940715005
2023-05-23,11.28,11.12,11.31,11.12,76209143.0,852871175.0,0.9111299940715005
2023-05-24,11.12,10.94,11.12,10.94,90464685.0,996600578.0,0.9111299940715005
2023-05-25,10.92,10.87,10.93,10.76,96884562.0,1050002542.0,0.9111299940715005
2023-05-26,10.87,11.02,11.05,10.79,56131248.0,613772897.0,0.9111299940715005
2023-05-29,11.03,10.92,11.05,10.89,62128766.0,680275578.0,0.9111299940715005
2023-05-30,10.92,10.82,10.92,10.75,83851583.0,906316374.0,0.9111299940715005
2023-05-31,10.77,10.57,10.79,10.55,129464151.0,1376758357.0,0.9111299940715005
2023-06-01,10.57,10.56,10.64,10.48,81549607.0,861646489.0,0.9111299940715005
2023-06-02,10.64,10.87,10.91,10.61,134101889.0,1446502669.0,0.9111299940715005
2023-06-05,10.82,10.85,10.93,10.77,57274614.0,620531416.0,0.9111299940715005
2023-06-06,10.85,10.79,11.02,10.77,91454949.0,997039312.0,0.9111299940715005
2023-06-07,10.83,10.88,11.0,10.82,70648299.0,770386878.0,0.9111299940715005
2023-06-08,10.9,11.04,11.12,10.81,95419658.0,1048266236.0,0.9111299940715005
2023-06-09,10.99,10.82,11.02,10.8,144357531.0,1566929274.0,0.9111299940715005
2023-06-12,10.77,10.74,10.84,10.71,83275387.0,896015709.0,0.9111299940715005
2023-06-13,10.71,10.72,10.79,10.65,93289438.0,1000183567.0,0.9111299940715005
2023-06-14,10.78,10.71,10.95,10.7,114557147.0,1237376776.0,0.9333333333333333
2023-06-15,10.72,10.84,10.85,10.63,99139346.0,1064567231.0,0.9333333333333333
2023-06-16,10.84,10.85,10.89,10.8,90217891.0,978869317.0,0.9333333333333333
2023-06-19,10.85,10.69,10.85,10.65,102213972.0,1096351097.0,0.9333333333333333
2023-06-20,10.68,10.6,10.7,10.59,58344728.0,620374308.0,0.9333333333333333
2023-06-21,10.6,10.59,10.71,10.58,66062460.0,703681564.0,0.9333333333333333
2023-06-26,10.55,10.43,10.55,10.41,72490439.0,757975992.0,0.9333333333333333
2023-06-27,10.45,10.53,10.57,10.43,49468048.0,519520687.0,0.9333333333333333
2023-06-28,10.53,10.55,10.57,10.47,39149619.0,412039354.0,0.9333333333333333
2023-06-29,10.54,10.43,10.54,10.43,52061389.0,544534826.0,0.9333333333333333
2023-06-30,10.43,10.48,10.56,10.41,55612776.0,583494655.0,0.9333333333333333
2023-07-03,10.49,10.72,10.76,10.48,94831148.0,1009887429.0,0.9333333333333333
2023-07-04,10.7,10.64,10.72,10.57,66032203.0,701885270.0,0.9333333333333333
2023-07-05,10.6,10.58,10.64,10.55,45373114.0,479726282.0,0.9333333333333333
2023-07-06,10.55,10.49,10.58,10.46,63974562.0,672396816.0,0.9333333333333333
2023-07-07,10.45,10.45,10.52,10.43,51904375.0,543212456.0,0.9333333333333333
2023-07-10,10.5,10.45,10.53,10.43,53130244.0,556581582.0,0.9333333333333333
2023-07-11,10.47,10.46,10.51,10.44,61158117.0,640131787.0,0.9333333333333333
2023-07-12,10.48,10.49,10.6,10.47,78866108.0,830230821.0,0.9333333333333333
2023-07-13,10.57,10.67,10.71,10.52,120453185.0,1281848379.0,0.9333333333333333
2023-07-14,10.67,10.7,10.78,10.64,77051463.0,825295738.0,0.9333333333333333
2023-07-17,10.65,10.56,10.65,10.51,65179562.0,687262894.0,0.9333333333333333
2023-07-18,10.54,10.5,10.57,10.47,50567805.0,531299773.0,0.9333333333333333
2023-07-19,10.48,10.56,10.57,10.48,40949567.0,430771279.0,0.9333333333333333
2023-07-20,10.57,10.57,10.68,10.54,59364597.0,629696111.0,0.9333333333333333
2023-07-21,10.56,10.58,10.63,10.53,40403846.0,427375950.0,0.9333333333333333
2023-07-24,10.57,10.51,10.57,10.49,45734162.0,480713396.0,0.9333333333333333
2023-07-25,10.69,10.94,10.95,10.68,217816949.0,2358815160.0,0.9333333333333333
2023-07-26,10.87,10.89,10.96,10.79,80535287.0,875260135.0,0.9333333333333333
2023-07-27,10.9,10.97,11.08,10.87,119485271.0,1314228294.0,0.9333333333333333
2023-07-28,10.91,11.44,11.48,10.89,251465728.0,2839828237.0,0.9333333333333333
2023-07-31,11.48,11.5,11.67,11.41,198744899.0,2288940411.0,0.9333333333333333
2023-08-01,11.44,11.35,11.55,11.32,102614441.0,1169570705.0,0.9333333333333333
2023-08-02,11.26,11.23,11.42,11.13,119560719.0,1343864165.0,0.9333333333333333
2023-08-03,11.19,11.51,11.55,11.15,125983683.0,1433255493.0,0.9333333333333333
2023-08-04,11.59,11.48,11.69,11.4,139621181.0,1611435431.0,0.9333333333333333
2023-08-07,11.4,11.35,11.43,11.31,69312135.0,786506452.0,0.9333333333333333
2023-08-08,11.31,11.29,11.4,11.2,77754060.0,877489188.0,0.9333333333333333
2023-08-09,11.26,11.36,11.39,11.25,61886544.0,702060797.0,0.9333333333333333
2023-08-10,11.34,11.35,11.4,11.26,50956557.0,577123920.0,0.9333333333333333
2023-08-11,11.36,11.1,11.45,11.1,101093418.0,1132867239.0,0.9333333333333333
2023-08-14,10.98,10.89,10.99,10.82,104562876.0,1139185249.0,0.9333333333333333
2023-08-15,10.91,10.95,11.01,10.83,76372797.0,834163040.0,0.9333333333333333
2023-08-16,10.89,10.95,11.06,10.84,61382611.0,671706045.0,0.9333333333333333
2023-08-17,10.89,10.8,10.92,10.7,103399045.0,1116292662.0,0.9333333333333333
2023-08-18,10.81,10.79,10.96,10.76,70694877.0,767047287.0,0.9333333333333333
2023-08-21,10.79,10.57,10.81,10.57,75160484.0,799641424.0,0.9333333333333333
2023-08-22,10.62,10.61,10.69,10.56,65015152.0,689991238.0,0.9333333333333333
2023-08-23,10.59,10.5,10.66,10.49,74122498.0,783102827.0,0.9333333333333333
