,open,close,high,low,volume,money,factor
2023-03-28,16.99,17.18,17.48,16.35,47441510.0,799740184.0,1.0
2023-03-29,17.04,16.68,17.71,16.62,47194811.0,805073296.0,1.0
2023-03-30,16.65,16.16,16.77,15.54,44604969.0,718801658.0,1.0
2023-03-31,16.5,15.3,16.78,15.0,57266787.0,915635726.0,1.0
2023-04-03,14.95,15.67,16.07,14.8,52548675.0,821160134.0,1.0
2023-04-04,15.59,15.42,15.89,15.29,38080340.0,589316901.0,1.0
2023-04-06,15.41,15.12,15.56,14.91,32836105.0,494862776.0,1.0
2023-04-07,15.03,15.76,15.86,15.0,33957603.0,527397071.0,1.0
2023-04-10,15.78,15.94,16.17,15.29,40756873.0,642629288.0,1.0
2023-04-11,16.2,15.51,16.35,15.31,32519011.0,509826571.0,1.0
2023-04-12,15.37,15.14,15.47,14.83,39390194.0,593360001.0,1.0
2023-04-13,15.3,16.18,16.58,15.29,80846836.0,1295888215.0,1.0
2023-04-14,15.87,15.93,16.25,15.69,42818712.0,684543292.0,1.0
2023-04-17,15.79,16.08,16.31,15.54,31174601.0,495876263.0,1.0
2023-04-18,15.9,15.49,16.12,15.12,32473404.0,505823000.0,1.0
2023-04-19,15.37,15.24,15.58,15.02,27106576.0,413157579.0,1.0
2023-04-20,15.16,15.51,15.8,15.09,27081945.0,420461679.0,1.0
2023-04-21,15.43,15.16,15.79,15.02,27662575.0,424911948.0,1.0
2023-04-24,15.53,15.48,15.56,14.83,23917214.0,365529591.0,1.0
2023-04-25,15.3,14.2,15.42,13.16,35325793.0,520095021.0,1.0
2023-04-26,14.27,13.84,14.55,13.78,24218689.0,341204199.0,1.0
2023-04-27,13.75,14.02,14.22,13.47,19500194.0,271379614.0,1.0
2023-04-28,14.01,14.11,14.42,13.87,18549908.0,262388319.0,1.0
2023-05-04,14.0,14.5,14.74,13.89,22898646.0,331006135.0,1.0
2023-05-05,14.46,14.27,14.46,14.1,14674053.0,209369068.0,1.0
2023-05-08,14.4,14.8,14.94,14.3,22008718.0,324249819.0,1.0
2023-05-09,14.62,13.85,14.72,13.81,31172716.0,441542218.0,1.0
2023-05-10,13.96,14.05,14.25,13.88,14309294.0,200955801.0,1.0
2023-05-11,13.99,13.58,14.07,13.42,24595927.0,334227996.0,1.0
2023-05-12,13.62,13.45,13.75,13.42,12289340.0,166419243.0,1.0
2023-05-15,13.58,13.69,13.75,13.03,17112583.0,229288083.0,1.0
2023-05-16,13.57,13.49,13.8,13.38,13237422.0,179099425.0,1.0
2023-05-17,13.58,13.99,14.19,13.4,22439624.0,310907973.0,1.0
2023-05-18,13.95,14.05,14.08,13.77,15589478.0,216823123.0,1.0
2023-05-19,14.15,13.78,14.15,13.69,14808100.0,204133373.0,1.0
2023-05-22,13.6,13.17,13.6,13.12,20892023.0,277687455.0,1.0
2023-05-23,13.2,12.4,13.2,12.06,33074883.0,412197071.0,1.0
2023-05-24,12.38,12.47,12.53,12.23,12935061.0,160344724.0,1.0
2023-05-25,12.45,12.59,12.75,12.37,14223414.0,178280710.0,1.0
2023-05-26,12.49,12.6,12.6,12.31,10232769.0,127769423.0,1.0
2023-05-29,12.61,12.69,12.85,12.52,12913591.0,164175878.0,1.0
2023-05-30,12.84,13.34,13.46,12.69,22657841.0,296373187.0,1.0
2023-05-31,13.4,13.41,13.55,13.25,16382694.0,219709565.0,1.0
2023-06-01,13.49,13.99,14.13,13.25,29951425.0,413479004.0,1.0
2023-06-02,13.95,13.8,14.07,13.71,16801112.0,232335120.0,1.0
2023-06-05,13.8,13.89,14.03,13.77,13230111.0,183724827.0,1.0
2023-06-06,13.9,13.27,13.99,13.26,18873216.0,255384254.0,1.0
2023-06-07,13.36,13.44,13.52,13.23,13763631.0,184195939.0,1.0
2023-06-08,13.31,13.1,13.35,12.96,14418031.0,189219578.0,1.0
2023-06-09,13.12,13.23,13.29,12.97,11507543.0,151193246.0,1.0
2023-06-12,13.21,12.93,13.23,12.86,14414583.0,187040117.0,1.0
2023-06-13,12.94,12.94,13.02,12.72,14017417.0,180334820.0,1.0
2023-06-14,12.91,13.05,13.25,12.85,17752528.0,232430090.0,1.0
2023-06-15,13.01,12.73,13.04,12.58,18836655.0,240145590.0,1.0
2023-06-16,12.78,13.02,13.19,12.73,20437730.0,266069351.0,1.0
2023-06-19,13.0,13.26,13.33,12.93,22067050.0,292039637.0,1.0
2023-06-20,13.3,12.89,13.3,12.73,25503222.0,330948624.0,1.0
2023-06-21,12.84,12.33,12.95,12.25,23268066.0,291588649.0,1.0
2023-06-26,12.3,11.89,12.3,11.48,30933907.0,365860859.0,1.0
2023-06-27,11.87,12.62,12.7,11.78,29804962.0,369555208.0,1.0
2023-06-28,12.56,12.41,12.58,11.95,21161607.0,259140414.0,1.0
2023-06-29,12.27,12.14,12.45,12.05,17890409.0,218426330.0,1.0
2023-06-30,12.18,12.39,12.44,12.13,17841926.0,219443612.0,1.0
2023-07-03,12.38,12.42,12.48,12.18,16745733.0,206897843.0,1.0
2023-07-04,12.36,12.42,12.65,12.24,17950672.0,222976265.0,1.0
2023-07-05,12.39,12.13,12.43,12.1,14029847.0,171448622.0,1.0
2023-07-06,12.13,12.22,12.45,12.0,15706709.0,192154725.0,1.0
2023-07-07,12.12,12.08,12.13,11.84,14815375.0,177699929.0,1.0
2023-07-10,12.05,11.86,12.09,11.79,13679225.0,162761797.0,1.0
2023-07-11,11.86,12.09,12.15,11.81,12975764.0,156270989.0,1.0
2023-07-12,12.08,11.77,12.08,11.69,14552464.0,172264483.0,1.0
2023-07-13,11.82,11.92,11.97,11.73,11115395.0,131774806.0,1.0
2023-07-14,11.96,12.2,12.34,11.93,22146922.0,270230877.0,1.0
2023-07-17,12.07,12.07,12.14,11.94,12607631.0,151402464.0,1.0
2023-07-18,12.07,11.9,12.08,11.88,11919329.0,142374534.0,1.0
2023-07-19,11.87,11.78,11.94,11.66,11151208.0,131260028.0,1.0
2023-07-20,11.78,11.49,11.8,11.49,13306338.0,154454411.0,1.0
2023-07-21,11.48,11.48,11.56,11.34,11411804.0,130530185.0,1.0
2023-07-24,11.45,11.47,11.68,11.38,10968555.0,126445408.0,1.0
2023-07-25,11.55,11.7,11.73,11.5,13705174.0,159731466.0,1.0
2023-07-26,11.7,11.45,11.72,11.35,15331863.0,175551619.0,1.0
2023-07-27,11.4,10.77,11.48,10.75,43321490.0,478625569.0,1.0
2023-07-28,10.75,10.72,10.81,10.54,33847519.0,360731422.0,1.0
2023-07-31,10.75,10.94,10.97,10.48,29131274.0,314065008.0,1.0
2023-08-01,10.91,11.01,11.12,10.76,18756237.0,205509170.0,1.0
2023-08-02,10.97,10.88,10.97,10.78,12802647.0,139217969.0,1.0
2023-08-03,10.81,10.95,10.95,10.78,13107511.0,142482790.0,1.0
2023-08-04,10.95,11.07,11.15,10.89,17420209.0,192173761.0,1.0
2023-08-07,11.05,10.99,11.1,10.9,14024503.0,154131834.0,1.0
2023-08-08,10.98,10.89,11.01,10.81,11514800.0,125206454.0,1.0
2023-08-09,10.79,10.71,10.85,10.65,15330800.0,164389798.0,1.0
2023-08-10,10.6,10.71,10.77,10.6,10960371.0,117147653.0,1.0
2023-08-11,10.71,10.4,10.74,10.38,13275005.0,140097848.0,1.0
2023-08-14,10.28,10.67,10.69,10.26,13656123.0,143350963.0,1.0
2023-08-15,10.65,10.4,10.72,10.28,12548907.0,130880250.0,1.0
2023-08-16,10.35,10.25,10.44,10.25,9548979.0,98559708.0,1.0
2023-08-17,10.22,10.54,10.61,10.16,15482841.0,162116556.0,1.0
2023-08-18,10.51,10.26,10.59,10.25,12680804.0,131764787.0,1.0
2023-08-21,10.36,10.22,10.54,10.2,13024677.0,134976741.0,1.0
2023-08-22,10.25,10.43,10.45,10.13,15044549.0,154993846.0,1.0
2023-08-23,10.43,10.06,10.43,10.06,15200800.0,154557770.0,1.0
2023-08-24,10.09,10.09,10.27,10.0,14710726.0,149062059.0,1.0
2023-08-25,10.07,9.94,10.16,9.84,16638504.0,166405235.0,1.0
2023-08-28,10.47,9.95,10.52,9.92,20793330.0,211756096.0,1.0
2023-08-29,9.9,10.37,10.45,9.88,20494715.0,210192565.0,1.0
2023-08-30,10.33,10.28,10.43,10.13,21757841.0,223504716.0,1.0
2023-08-31,10.25,10.01,10.25,9.96,17250834.0,173125490.0,1.0
2023-09-01,10.01,9.94,10.09,9.92,11858397.0,118223733.0,1.0
2023-09-04,9.98,10.28,10.29,9.93,22940203.0,233076802.0,1.0
2023-09-05,10.28,10.23,10.48,10.2,17194395.0,177425017.0,1.0
2023-09-06,10.25,10.52,10.53,10.12,22329279.0,232055936.0,1.0
2023-09-07,10.5,10.28,10.55,10.27,19250700.0,200342812.0,1.0
2023-09-08,10.25,10.69,10.88,10.23,31028894.0,328669956.0,1.0
2023-09-11,10.7,10.55,10.7,10.41,27459866.0,288416351.0,1.0
2023-09-12,10.48,10.44,10.55,10.37,16466725.0,171886299.0,1.0
2023-09-13,10.38,10.16,10.38,10.04,20390500.0,207487917.0,1.0
2023-09-14,10.13,10.22,10.33,10.09,16088647.0,164186503.0,1.0
2023-09-15,10.2,10.09,10.27,10.04,13563184.0,137309078.0,1.0
2023-09-18,10.04,10.16,10.25,9.98,12735982.0,129238983.0,1.0
2023-09-19,10.15,9.95,10.16,9.9,13942256.0,139007314.0,1.0
