,open,close,high,low,volume,money,factor
2023-03-28,45.51,45.76,46.44,44.2,1789422.0,81198678.0,1.0
2023-03-29,45.32,44.94,45.94,44.71,1061804.0,48045523.0,1.0
2023-03-30,44.83,44.32,45.93,44.32,1146228.0,51335012.0,1.0
2023-03-31,44.03,44.94,44.99,42.31,2304622.0,100466144.0,1.0
2023-04-03,45.28,47.8,47.8,44.97,2887785.0,133334479.0,1.0
2023-04-04,47.22,47.24,47.65,46.01,2874629.0,134776487.0,1.0
2023-04-06,47.0,45.17,47.0,44.97,2308843.0,105464889.0,1.0
2023-04-07,45.54,46.59,46.66,44.91,2012602.0,92277782.0,1.0
2023-04-10,46.65,48.59,51.0,46.65,5445281.0,267492283.0,1.0
2023-04-11,48.47,54.4,55.47,47.78,6957361.0,359040326.0,1.0
2023-04-12,55.99,55.9,56.98,53.55,5010955.0,278755895.0,1.0
2023-04-13,56.4,55.88,58.57,54.5,4071199.0,228052148.0,1.0
2023-04-14,55.36,52.58,56.76,51.54,4429011.0,236492007.0,1.0
2023-04-17,53.0,49.02,54.16,48.39,3935921.0,198313039.0,1.0
2023-04-18,49.58,47.31,50.44,46.77,4905025.0,235545680.0,1.0
2023-04-19,47.3,46.8,48.33,46.2,3397924.0,160816700.0,1.0
2023-04-20,46.52,46.11,47.21,45.57,2592056.0,119721999.0,1.0
2023-04-21,46.04,42.5,46.1,42.43,2904401.0,127500843.0,1.0
2023-04-24,42.62,41.99,42.65,41.28,2073879.0,86888433.0,1.0
2023-04-25,41.76,40.88,42.02,39.75,2700567.0,110283988.0,1.0
2023-04-26,41.26,40.05,41.68,39.83,2507680.0,101698747.0,1.0
2023-04-27,40.05,40.01,41.11,39.33,1601899.0,64317295.0,1.0
2023-04-28,39.71,41.06,41.34,39.71,1564879.0,63901107.0,1.0
2023-05-04,40.17,35.15,40.31,34.77,8144278.0,296979724.0,1.0
2023-05-05,35.15,35.8,36.2,34.7,2871679.0,102358070.0,1.0
2023-05-08,36.12,36.28,36.75,35.6,1836246.0,66585947.0,1.0
2023-05-09,36.35,34.87,36.35,34.8,2280734.0,80406329.0,1.0
2023-05-10,34.81,34.9,35.58,34.59,1592659.0,55691806.0,1.0
2023-05-11,34.8,35.05,35.38,34.61,980113.0,34246428.0,1.0
2023-05-12,35.05,34.47,35.22,34.44,923481.0,32106661.0,1.0
2023-05-15,34.73,34.98,34.98,33.66,1424864.0,48875131.0,1.0
2023-05-16,35.0,34.72,35.08,34.35,1135130.0,39453227.0,1.0
2023-05-17,34.53,35.62,35.68,34.53,1157116.0,40919642.0,1.0
2023-05-18,35.72,36.28,36.48,35.6,1352725.0,48898010.0,1.0
2023-05-19,36.2,36.63,36.87,36.16,1345431.0,49134396.0,1.0
2023-05-22,36.68,36.8,37.22,36.33,1433179.0,52576542.0,1.0
2023-05-23,36.83,36.26,37.08,36.26,1161242.0,42553566.0,1.0
2023-05-24,36.1,36.52,36.71,35.7,748488.0,27204203.0,1.0
2023-05-25,36.51,36.35,36.91,35.75,1108804.0,40112418.0,1.0
2023-05-26,36.44,37.11,37.17,36.2,979211.0,36046633.0,1.0
2023-05-29,36.87,36.97,37.4,36.79,863311.0,31993127.0,1.0
2023-05-30,37.26,37.2,37.37,36.66,1014541.0,37587556.0,1.0
2023-05-31,37.3,38.09,38.28,37.3,1496197.0,56825780.0,1.0
2023-06-01,38.09,38.38,38.6,37.53,1388489.0,52960528.0,1.0
2023-06-02,38.5,38.33,38.69,38.1,1000725.0,38395524.0,1.0
2023-06-05,38.57,39.15,39.36,38.04,1525768.0,59472047.0,1.0
2023-06-06,38.99,38.3,39.8,38.19,1165420.0,45431705.0,1.0
2023-06-07,38.7,38.75,39.3,38.01,1182641.0,45876708.0,1.0
2023-06-08,38.75,37.93,39.02,37.72,1172700.0,44709531.0,1.0
2023-06-09,38.27,38.69,39.0,37.96,1080290.0,41604669.0,1.0
2023-06-12,38.69,38.36,39.48,38.33,985141.0,38087976.0,1.0
2023-06-13,38.45,39.0,39.27,38.4,1036527.0,40306518.0,1.0
2023-06-14,38.72,38.69,38.98,38.33,707690.0,27298026.0,1.0
2023-06-15,38.55,37.98,38.69,37.9,1091783.0,41683065.0,1.0
2023-06-16,37.9,38.45,38.77,37.68,987268.0,37927921.0,1.0
2023-06-19,38.43,39.5,40.18,38.43,1937049.0,76655579.0,1.0
2023-06-20,39.48,39.86,40.06,39.15,1238547.0,49147586.0,1.0
2023-06-21,39.52,37.96,39.52,37.91,1113076.0,42881972.0,1.0
2023-06-26,37.01,35.37,37.62,35.2,1423504.0,51599580.0,1.0
2023-06-27,35.64,35.48,35.9,35.1,1033090.0,36577919.0,1.0
2023-06-28,35.69,35.15,35.69,33.86,1132003.0,39255838.0,1.0
2023-06-29,35.12,35.95,36.15,34.84,738816.0,26286500.0,1.0
2023-06-30,36.21,35.6,36.21,35.41,714652.0,25516869.0,1.0
2023-07-03,35.58,35.69,35.97,34.88,947549.0,33585475.0,1.0
