,timestamp,open,high,low,close,volume
0,2023-05-01,6.405,6.492,5.628,5.765,4641313.0
1,2023-05-02,5.764,5.838,5.622,5.724,1968250.16
2,2023-05-03,5.725,5.943,5.539,5.939,2171721.89
3,2023-05-04,5.94,6.203,5.795,5.911,2533938.47
4,2023-05-05,5.911,6.093,5.712,5.943,2002977.86
5,2023-05-06,5.945,5.975,5.506,5.591,1799905.16
6,2023-05-07,5.593,5.714,5.507,5.543,971793.57
7,2023-05-08,5.542,5.81,5.144,5.331,2587008.51
8,2023-05-09,5.33,5.354,5.154,5.28,1403096.04
9,2023-05-10,5.282,5.475,5.05,5.288,2123219.21
10,2023-05-11,5.287,5.296,4.911,5.005,1984989.05
11,2023-05-12,5.003,5.239,4.933,5.23,1409087.58
12,2023-05-13,5.23,5.242,5.09,5.148,885281.01
13,2023-05-14,5.147,5.47,5.07,5.194,1047505.22
14,2023-05-15,5.191,5.388,5.115,5.234,1139795.55
15,2023-05-16,5.233,5.292,5.157,5.232,815753.99
16,2023-05-17,5.232,5.421,5.117,5.38,991589.03
17,2023-05-18,5.382,5.428,5.134,5.269,951964.46
18,2023-05-19,5.271,5.45,5.214,5.313,814183.91
19,2023-05-20,5.313,5.313,5.179,5.223,574871.49
20,2023-05-21,5.225,5.234,4.991,5.054,835540.49
21,2023-05-22,5.052,5.146,4.969,5.075,952333.93
22,2023-05-23,5.075,5.207,5.013,5.041,777753.97
23,2023-05-24,5.041,5.041,4.76,4.817,1238405.68
24,2023-05-25,4.818,4.888,4.701,4.819,913406.18
25,2023-05-26,4.818,4.924,4.74,4.824,872028.68
26,2023-05-27,4.824,5.032,4.804,4.907,1036900.47
27,2023-05-28,4.906,5.052,4.839,4.993,1332655.35
28,2023-05-29,4.993,5.023,4.836,4.875,1039168.69
29,2023-05-30,4.875,4.956,4.806,4.828,1184450.46
30,2023-05-31,4.827,4.842,4.622,4.679,1374693.97
31,2023-06-01,4.68,4.731,4.54,4.671,854699.12
32,2023-06-02,4.672,4.874,4.635,4.807,976047.15
33,2023-06-03,4.807,4.856,4.756,4.799,550457.59
34,2023-06-04,4.797,4.871,4.764,4.794,465042.52
35,2023-06-05,4.795,4.795,4.118,4.338,2549907.15
36,2023-06-06,4.338,4.473,4.208,4.421,1521590.43
37,2023-06-07,4.421,4.421,4.125,4.192,1075735.1
38,2023-06-08,4.191,4.23,4.12,4.177,830208.23
39,2023-06-09,4.178,4.349,4.11,4.274,1040597.68
40,2023-06-10,4.274,4.278,3.35,3.69,3875801.73
41,2023-06-11,3.693,3.77,3.614,3.655,1030087.77
42,2023-06-12,3.659,3.757,3.559,3.728,1129589.01
43,2023-06-13,3.729,4.047,3.71,3.968,2011595.45
44,2023-06-14,3.964,4.017,3.74,3.786,1378086.44
45,2023-06-15,3.786,4.01,3.69,3.962,2147474.93
46,2023-06-16,3.96,4.089,3.885,3.994,1039736.08
