,timestamp,open,high,low,close,volume
0,2023-05-01,88.24,88.86,85.13,86.75,537906.62
1,2023-05-02,86.76,89.18,86.0,88.2,425254.867
2,2023-05-03,88.2,89.86,85.4,88.88,561552.261
3,2023-05-04,88.88,89.15,87.39,88.38,317092.93
4,2023-05-05,88.39,89.69,86.16,88.61,462767.029
5,2023-05-06,88.62,89.36,80.56,83.26,808799.894
6,2023-05-07,83.27,84.69,82.93,83.42,405461.481
7,2023-05-08,83.41,85.25,75.2,77.71,1093958.201
8,2023-05-09,77.72,80.1,77.31,79.9,652411.76
9,2023-05-10,79.91,82.04,77.12,80.93,862746.998
10,2023-05-11,80.93,81.97,78.37,80.88,787875.496
11,2023-05-12,80.89,81.48,77.07,80.45,770849.129
12,2023-05-13,80.45,81.09,79.78,80.26,378311.771
13,2023-05-14,80.26,84.02,79.55,83.5,475081.378
14,2023-05-15,83.49,88.5,82.14,86.89,1110552.095
15,2023-05-16,86.91,90.55,86.13,89.99,1212427.879
16,2023-05-17,89.99,95.0,89.59,93.88,1631954.238
17,2023-05-18,93.88,94.21,89.15,90.43,778910.547
18,2023-05-19,90.44,93.31,90.26,91.8,674615.432
19,2023-05-20,91.78,92.78,90.21,92.42,331961.718
20,2023-05-21,92.41,93.49,91.14,92.18,434485.442
21,2023-05-22,92.17,92.79,89.81,90.83,462506.227
22,2023-05-23,90.83,93.11,90.38,91.7,437608.283
23,2023-05-24,91.7,91.89,84.33,85.82,1241381.96
24,2023-05-25,85.83,86.79,82.54,86.57,836219.141
25,2023-05-26,86.57,88.2,86.05,87.08,684744.479
26,2023-05-27,87.08,88.81,86.91,88.55,335522.417
27,2023-05-28,88.56,92.35,88.14,91.45,582851.729
28,2023-05-29,91.46,92.18,90.12,90.86,484868.109
29,2023-05-30,90.86,93.3,90.51,92.25,553236.455
30,2023-05-31,92.25,92.72,87.5,90.42,730322.072
31,2023-06-01,90.42,95.98,89.17,94.19,1356811.01
32,2023-06-02,94.17,95.7,92.58,95.45,714015.964
33,2023-06-03,95.45,97.56,94.15,96.03,596590.884
34,2023-06-04,96.03,96.5,93.8,94.19,492464.068
35,2023-06-05,94.19,94.58,83.56,87.71,1320394.36
36,2023-06-06,87.7,91.47,85.64,90.92,836859.771
37,2023-06-07,90.93,91.31,87.34,88.85,691677.146
38,2023-06-08,88.83,89.53,87.19,88.5,405790.611
39,2023-06-09,88.49,89.98,86.66,89.3,437545.529
40,2023-06-10,89.3,89.34,73.56,77.13,1931078.315
41,2023-06-11,77.14,78.98,76.15,77.68,601244.43
42,2023-06-12,77.68,77.91,75.07,77.5,624473.429
43,2023-06-13,77.5,79.79,76.26,77.5,560306.834
44,2023-06-14,77.5,78.14,70.75,73.15,678793.191
45,2023-06-15,73.15,75.14,72.08,74.6,512970.921
46,2023-06-16,74.61,76.91,74.12,76.13,419230.737
47,2023-06-17,76.13,77.87,75.73,76.86,301798.536
48,2023-06-18,76.87,78.47,76.22,77.19,294006.387
49,2023-06-19,77.2,77.83,76.05,77.48,316595.527
50,2023-06-20,77.48,80.95,75.68,80.33,550346.966
51,2023-06-21,80.34,87.4,80.0,85.05,1229357.89
52,2023-06-22,85.04,88.85,84.0,85.93,796900.675
53,2023-06-23,85.94,93.12,85.02,91.26,1034513.877
54,2023-06-24,91.28,93.8,86.35,89.71,834154.053
55,2023-06-25,89.72,90.46,86.6,88.2,566508.551
56,2023-06-26,88.2,90.35,85.74,87.21,656513.038
57,2023-06-27,87.22,89.44,86.9,88.07,470344.953
58,2023-06-28,88.06,88.1,81.36,83.02,639774.735
59,2023-06-29,83.01,85.75,82.91,84.73,484623.807
60,2023-06-30,84.73,112.0,84.28,108.7,5474715.293
61,2023-07-01,108.7,113.0,102.86,107.1,2614144.4
62,2023-07-02,107.1,114.0,105.09,113.58,2299237.775
63,2023-07-03,113.57,115.0,105.55,107.27,1444586.945
64,2023-07-04,107.27,109.59,103.5,104.27,935566.37
65,2023-07-05,104.27,106.63,98.6,102.6,1410427.816
66,2023-07-06,102.6,105.95,95.14,95.25,1703635.889
67,2023-07-07,95.25,98.61,94.21,98.23,866824.098
68,2023-07-08,98.22,98.49,96.55,97.79,431026.029
69,2023-07-09,97.78,98.41,94.41,95.08,468670.42
70,2023-07-10,95.08,97.81,91.62,96.72,1108435.576
71,2023-07-11,96.73,98.35,95.51,96.77,775748.275
72,2023-07-12,96.76,97.85,94.12,96.21,681194.17
73,2023-07-13,96.21,104.41,95.61,101.85,1780959.223
74,2023-07-14,101.85,103.63,91.96,95.13,1470606.515
